alpha values,beta values
0.0,1.0
0.2678039757146835,0.7321960242853165
0.5508725523932451,0.44912744760675494
0.5764689878834932,0.4235310121165068
0.7068936508010214,0.2931063491989786
0.6050158623929575,0.39498413760704254
0.7535823728075555,0.24641762719244453
0.6339973755489874,0.3660026244510126
0.6892189363859528,0.3107810636140472
0.4439359368535207,0.5560640631464793
0.8058646712736482,0.19413532872635175
0.7385800544531678,0.26141994554683223
0.7847077334956442,0.21529226650435584
0.9060702341086664,0.09392976589133362
0.8737108894862299,0.12628911051377012
0.8298351664063401,0.17016483359365986
0.9149211243889107,0.08507887561108929
0.901425891460778,0.098574108539222
0.7221517812954478,0.27784821870455223
0.8204812193110146,0.1795187806889854
0.3553202811340085,0.6446797188659915
0.21144260833795017,0.7885573916620499
0.44094739844043074,0.5590526015595693
0.06392779279258438,0.9360722072074156
0.43451658956408395,0.5654834104359161
0.10606131500470822,0.8939386849952917
0.1899478257313785,0.8100521742686215
0.3995836476070902,0.6004163523929098
0.47264448163065037,0.5273555183693497
0.45649038899436123,0.5435096110056388
0.10522928349251517,0.8947707165074849
0.36391155577727463,0.6360884442227254
0.3308565362750501,0.6691434637249499
0.4552266310148266,0.5447733689851735
0.3714426420637986,0.6285573579362014
0.0,1.0
0.17492429629284967,0.8250757037071503
0.24228368590946583,0.7577163140905342
0.09078621138465529,0.9092137886153447
0.37517170923292753,0.6248282907670725
