Predicted Error rates,Sampling Error rates,Estimated Error rates
-100.0,-33.1103678929766,-33.1103678929766
-18.75,19.047619047619037,8.925266394117624
-0.000180346400795684,0.25062656641603337,0.1124639221947604
-1.7314631042062636e-05,-13.419913419913426,-5.683759494599662
-4.252925248637851e-05,-4.761904761904767,-1.3957745836536972
-1.660994556182008e-05,36.05442176870746,14.240914639952948
-1.364288961372865e-05,-7.834101382488484,-1.930470954898991
-0.009414646491110717,40.056022408963564,14.654640465582162
-0.0960994144251455,28.700128700128698,8.853222987088632
0.0007756276115267191,-40.47619047619048,-22.50701060791094
0.0018945640621829672,10.741971207087483,2.086922873702116
0.0033986550112866227,24.223602484472035,6.335043021242082
0.005166188205914331,-12.53644314868805,-2.694945311546174
0.00709573497585338,0.7326007326007342,0.0752422495557574
0.009111025973552631,-4.761904761904765,-0.5934163141247546
-1.7039575880552359e-06,-9.688013136288989,-1.6485605571937223
-1.8427488860875553e-06,1.4832162373146036,0.12618868378894052
-1.9336624142163306e-06,-3.2738095238095224,-0.32271459839011
-1.9842395885575993e-06,35.03909026297085,9.735547381672314
-2.0070760291852304e-06,15.64625850340137,2.8087956021071014
92.1052593002692,-2.7459954233409687,30.956579070965645
156.7898751194395,4.669887278582916,36.8345342879909
-64.66092630119158,1.4492753623188321,-27.701846071578316
364.6066067060015,30.43478260869564,51.79764973670816
-10.967624022251849,78.57142857142856,39.66522480562342
-233.4105069239218,44.927536231884055,15.406637358942069
-125.47960070158344,-2.173913043478262,-25.59556031444782
-37.59340891208674,21.212121212121197,-2.2856070143784506
13.077224165688728,-14.28571428571429,-1.3527724254595253
-29.50871121491075,10.893672537508158,-7.549627337933014
94.68553758619397,-31.35011441647598,-18.087473061723035
66.98580589640822,5.820105820105807,28.079010895079186
93.14025471218426,15.942028985507248,41.48356655601506
-46.9714543655105,-20.634920634920636,-32.62401215770541
265.43142605077026,138.09523809523807,185.39332817977342
948.6972971121676,-100.0,-100.0
-97.19372456313977,16.459627329192536,-3.4211052718973094
22.311710026196277,-25.629290617848977,-14.013968275621613
234.87076563917464,26.811594202898565,45.70049812142855
-45.83634792350959,-33.86243386243387,-38.35470766693583
